French,Tamazight_Kabyle,LLM_Translation
Êtes-vous en train de vous moquer de moi ?,Tesmesxireḍ yess-i ?,Tettstehzim yis-i?
Êtes-vous en train de vous moquer de moi ?,A tettihiḍ fell-i ?,Tstehzayem yis-i?
Tu es plus idiot que je pensais.,Ur k-nwiɣ ara d ungif annect-a.,Tugarḍ akken nwiɣ deg tuhala.
C'est la ville dont je vous parlais.,D tamdint-nni i k-d-nniɣ.,D tamdint-nni i wen-d-mmeslayeɣ fell-as.
"Au pays des aveugles, le borgne est roi.","Di tmurt iderɣalen, bu-yiwet n tiṭ d agellid.","Deg tmurt n yiderɣalen, bu yiwen n wallen d agellid."
Nous mourons tous.,Ad nemmet akk.,Akkw ad nemmet.
"En vérité, je me suis fait gronder par ma mère.","Tidet kan, tεeyyeḍ-d felli yemma.","S tidet, t-id-yewwi-d rregmat sɣur yemma."
Un moustique m'a piqué.,Teqqes-iyi tizit.,Teqqes-iyi tzit.
Ils sont fiers de leur pont.,Teεǧeb-asen tqenṭert-nsen.,Zuxen s ttqenṭra-nnsen.
Ils sont fiers de leur pont.,Ttzuxxun s tqenṭert-nsen.,Zuxxen s tqenṭert-nsen.
La police est à la recherche du voleur.,Tamsulta la tettnadi ɣef umakar.,Lbulis la itnadi ɣef umakar.
La police est à la recherche du voleur.,Ipulisen ttqelliben amakar-nni.,Lbulis la itnadi ɣef umakar.
Elle a quitté la pièce sans mot dire.,Teffeɣ si texxamt ur d-tenni awal.,Teffeɣ seg texxamt mbla ma tenna awal.
"Après avoir lu ses livres, j'ai le sentiment de pouvoir construire une maison.",Tura mi ɣriɣ idlisen-is ikad-iyi-d zemreɣ ad bnuɣ ḥedd n yexxamen.,"Mi d-ɣriɣ idlisen-is, ḥusseɣ zemreɣ ad bnuɣ axxam."
On dirait qu'il va faire beau.,Waqil ad iqeεεed lḥal.,Amzun ad yelhu lḥal.
Contribuer à Tatoeba est un passe-temps qui ne coûte pas cher.,Atekki deg Tatoeba d asεeddi n lweqt rxisen.,Attekki di Tatoeba d tukksa n lxiq ur neswa ara aṭas.
Pourquoi êtes-vous sur votre trente-et-un ?,Amek armi d-tcebbḥeḍ akka am yesli ?,Acuɣer i tcebbḥem akka?
Elle souffre d'une maladie grave.,Tuḍen aṭṭan yewεer.,Tettat s waṭṭan iwaɛren.
Tous les hommes sont égaux devant Dieu.,Imdanen merra εedlen zzat Rebbi.,Imdanen akk d igada zdat n Rebbi.
On ne sait jamais combien de temps ces réunions doivent durer.,Yiwen ur yezmir ad d-yini acḥal ttekkent temlilyin-a.,Ur neẓri ara yakk acḥal n lweqt ara d-awint temliliyin-agi.
La gare est dans les environs.,Taɣsert attan deg lemsaq-a kan.,Tagarest tella deg tmiwa.
"C'est un homme qui parle peu, mais qui tient toujours ses promesses.",Mačči d win iheddren aṭas maca iteṭṭef dima deg awal-is.,"D argaz ur nhedder ara aṭas, meɛna dima iṭṭef deg wawal-is."
Ils refusent tous de commencer à parler de cet événement.,Ugin akk ad d-bdun awal ɣef taluft-nni.,Ugin akk ad bdun ad mmeslayen ɣef tedyan-agi.
Elle est timide et parle peu.,"D timsetḥit, ur thedder ara aṭas.",Tssetḥi u tmeslay drus.
Ne parlez pas à moins de pouvoir améliorer le silence.,Ur hedder ala ma tzemreḍ ad twennεeḍ tasusmi.,Ur tmeslayet ara siwa ma tzemrem ad tessebhayam tsusmi.
Celui qui mange le diable doit manger ses cornes.,Win yeččan cciṭan ilaq ad yečč acciwen-is.,"Win yeččan ccitan, ad yečč iccawen-is."
Il est sorti de sa coquille.,Yeffeɣ-d seg ujeɣlal-is.,Iffeɣ-d seg tqecqact-is.
Je n'ai jamais entendu parler de cette histoire.,Urǧin sliɣ i teqsiḍt-a.,Ur sliɣ ara yakk s teqsiṭ-agi.
J'ai de l'argent sur moi.,Llan yidrimen ɣur-i.,Sɛiɣ idrimen yid-i.
Avez-vous une carte du métro ?,Ɣur-k takarḍa n umitṛu?,Tesɛam takarḍa n lmitru?
"Il dit vrai, il était occupé.","Yenna-d tidet, ur yestufi ara.","Yenna-d tidet, yella yeccuɣel."
Elle mange du chocolat chaque jour.,Tettet ccakula yal ass.,Tett ššukula yal ass.
Je ferai un peu de café.,Ad ssewweɣ ciṭṭ n lqahwa.,Ad xedmeɣ ciṭ n lqahwa.
Les Français portent tous des bérets.,Iṛumiyen ttlusen tibiryin.,Ifransisen lsen akk ibiriyen.
J'ai été déçu par mon fils.,Yeɣli mmi deg ul-iw.,Yessuḥef-iyi mmi.
Elle découvrit un nouveau monde de toutes les couleurs.,Tufa-d amaḍal amaynu yeččuren d tiɣmiwin.,Tufa-d amaḍal amaynut n yal ini.
C'est toujours un fainéant et un bon à rien.,Yeqqim kan d ameksul-nni ur neṣliḥ i kra.,"Mazal-it d amazzul, ur yeswi acemma."
Il espérait devenir célèbre en tant que poète.,Yella yessaram ad yuɣal d amedyaz mucaεen.,Yessaram ad yuɣal d amedyaz yettwassen.
Oublie tes chagrins.,Ttu lehmum-ik.,Ttu iɣeblan-ik.
Me confieras-tu le secret ?,Ad yi-d-temleḍ ufur-nni ?,A yi-d-tinid lsserr?
Quels produits sont actuellement en vente ?,Anwi ifuras yettnuzen akka tura ?,Anwi isufa i d-yellan i tznuzya tura?
La rivière coule à travers la ville.,D asif yettεeddin ɣef temdint.,Asif itazzal deg tlemmast n temdint.
M'avez-vous trompé ?,Tkellxeḍ-iyi?,Tkellexem-iyi?
Je vous donnerai cette bicyclette comme cadeau d'anniversaire.,Atan ad k-d-fkeɣ avilu-a d asefk i umulli-inek.,Ad awen-fkeɣ tabiskilit-agi d asefk n umulli.
Il admit ses erreurs.,Yesteεref s wagulen-is.,Yesteɛref s tuccḍiwin-is.
"Les animaux, les plantes et les microbes sont tous des êtres vivants.","D iɣersiwen, d imɣan neɣ d imikruben, d imudar akk.","Iɣersiwen, imɣan d yimikruben akk-nsen d imuddiren."
Le porteur de cette lettre est mon ami Suzuki.,D amdakel-iw Suzuki i d-yewwin tabrat-a.,Win i d-yewwin tabrat-agi d ameddakul-iw Suzuki.
Il n'aura aucun repos avec sa conscience coupable jusqu'à ce qu'il confesse ce qu'il a fait.,Ur t-tetthenni tefrit-is tamednubt alamma yestqerr-d s wayen ixdem.,Ur yetthenna ara s lbal-is yettlummun alamma yeqqer-ed s wayen yexdem.
Merci d'avoir fait tout ce chemin pour venir me voir.,Tanemmirt i d-yewwin abrid ɣezzifen akk annect-a akken ad yi-teẓreḍ,Tanemmirt imi d-tusiḍ akk abrid-agi iwakken ad iyi-tẓreḍ.
Merci d'avoir fait tout ce chemin pour venir me voir.,Tanemmirt i d-yeddan akk annect-a akken ad yi-teẓreḍ.,Tanmirt imi d-tusiḍ akk abrid-agi iwakken ad iyi-teẓreḍ.
Cette technologie est une chose incroyable !,Tatiknulujit d ayen yessewhamen.,Tatiknulujit-agi d ayen yessewhamen!
Vous pouvez apporter cette lettre au directeur ?,Tzemreḍ ad tawiḍ tabrat-a i unemhal ?,Tzemrem ad tawim tabrat-agi i unemhal?
La fenêtre était ouverte.,Ṭṭaq yella yeldi.,Taqquct tella teldi.
La fenêtre était ouverte.,Asfaylu tuɣ yeldi.,Taqquct tella teldi.
Sue est la meilleure joueuse de tennis de notre école.,Sue d tamyurart n tinis ifazen akk deg uɣerbaz-nneɣ.,Sue d tamurart n tnis tin yufren akk deg uɣerbaz-nneɣ.
Ne les laisse pas te dire que tu es folle.,Ur ten-ttaǧǧa ara ad m-d-inin d tamexlult i telliḍ.,Ur ten-ttaǧǧa ara ad am-d-inin belli tderwiceḍ.
On ne me la refera pas.,Yiwet n tikkelt kan i teţɛedday af uccen.,Ur iyi-tt-id-talsen ara.
"Je me rends compte que ça a l'air fou, mais je pense que je suis tombé amoureux de votre sœur cadette.","Σelmeɣ ad s-tiniḍ d timmuxlelt, maca ikad-iyi-d ḥemmleɣ uletma-k-nni tamecṭuḥt.","Zriɣ belli yettban-d d ameslub, meɛna ɣileɣ belli uɣaleɣ ḥemmleɣ weltma-twen tameẓyant."
Nous sommes passés par la pharmacie avant de rentrer à la maison.,Nεedda-d ɣef ufermasian qbel ad d-nuɣal s axxam.,Nɛedda-d ɣef tfarmasit uqbel ad n-nuɣal s axxam.
"Plus on se frotte les mains rapidement, plus elles deviennent chaudes.",Akken tettḥukku iffasen-is s tɣawla i ḥemmun.,"S wakken i nemselmed ifassen-nneɣ s tazzla, s wakken i d-ḥemmun."
J'ai pensé que vous devriez lire ces documents.,Nniɣ-as ahat ilaq ad teɣreḍ arraten-ayi.,Ɣileɣ ilaq aț-țeɣrem isental-agi.
Les soldats sautent du bateau.,Iserdasen a d-ttneggizen seg teflukt.,Isardasen ttunugen-d seg lbabuṛ.
Le sucre fond dans l'eau.,Sskeṛ ifessi deg aman.,Ssker yettfessi deg waman.
Toutes les feuilles de l'arbre virèrent au jaune.,Iferrawen n waddag-nni merra ruḥen ad wriɣen.,Akk iferrawen n ttejra uɣalen d iwraɣen.
Tom a abandonné ses fils.,Tom yeǧǧa arraw-is.,Tom yeǧǧa arraw-is.
Je n'ai pas encore demandé pardon à tous les gens que j'ai blessés.,Ur εad ssutreɣ ssmaḥ seg wid i jerḥeɣ merra.,Ur ɛad ssutreɣ ssmaḥ i medden akk i jerḥeɣ.
"Pour ce qui concerne le nouveau plan, je ne suis pas d'accord avec toi.",Ma ɣef ayen irzan aɣawas ajdid ur k-wufqeɣ ara di rray.,"Ma d ayen yerzan ahil amaynut, ur d-mtawiɣ ara yid-k."
Comment s'explique la chute du mur de Berlin ?,Amek armi yeɣli weɣrab n Berlin ?,Amek i d-yettwasefhem uɣelluy n uɣrab n Berlin?
Ce n'est pas un aigle.,Mačči d tamedda.,Mačči d isig.
Cela me semble suspect.,Ikad-iyi-d yella deg-s ccek.,Yettban-iyi-d d ameskukru.
Nous nous promenâmes le long de la Tamise.,Nmerreḥ ɣef rrif n wasif n Thames.,Nlehha rrif n wasif n Tamise.
Les nazis on fait disparaître son nom des livres d'histoire.,Inaẓiyen mḥan isem-is deg idlisen umezruy.,Inaziyen kksen isem-is seg yedlisen n umezruy.
"Celui qui se noie se raccroche avidement, même à une petite herbe.","Win wwin waman yettcelṭuṭṭuf s jjiεran, ɣas ɣer uzeɣbub kan.","Win iɣerqen, iṭṭaf ula d taseṭṭa n tuga."
Nous eûmes une chaude discussion.,Yeḥma-tt wawal gar-aneɣ.,Nesɛa amyuṭṭef iḥman.
Dan était un tueur impitoyable.,Dan yella d amenɣay ur nesεi tamella deg ul.,Dan yella d amneɣ ur nesɛi rreḥma.
Ce café est trop fort.,Bezzaf rẓaget lqahwa-yi.,Lqahwa-agi teqseḥ bezzaf.
John continue à participer au cours du soir de journalisme.,John mazal-t iḥeddeṛ i temsirin n yiḍ yerzan taɣamsa.,John ikemmel ad ittekki deg temsirin n tmeddit n tɣamsa.
Mieux vaut mille refus qu'une promesse non tenue.,Tif xir win yugin alef iberdan wala win iweεεden ur yeṭṭif deg awal.,Yif agim n wuggiyen wala lwaɛd ur nexdim.
Ce pauvre garçon est amoureux de vous.,Yeεceq deg-m uqcic-a meskin.,Aqcic-agi ameskin iḥemmel-ikun.
"L'année passée, il y a eu une mauvaise récolte.",Txuṣṣ lɣella n yilindi.,"Aseggas iɛeddan, tella-d tmegra n diri."
Lâche mon bras !,Serreḥ i yiɣil-iw !,Serreḥ-iyi iɣil-iw!
Je la fis pleurer.,Ssruɣ-tt.,Sruɣ-tt.
Il ne nous reste plus de pain.,Ifukk-aɣ uɣrum.,Ur d-yegri uɣrum.
Pouvez-vous m'apprendre à voler ?,Tzemreḍ ad yi-tesskneḍ amek ara akreɣ ?,Tzemrem ad yi-tselmedem amek ara fgeɣ?
Pouvez-vous m'apprendre à voler ?,Tzemreḍ ad yi-tesskneḍ amek ara ffrefreɣ ?,Tzemrem ad yi-tselmedem amek ara fgeɣ?
Vous n'accepteriez pas.,Ur tqebblem ara.,Ur tettqebbelem ara.
Vous n'accepteriez pas.,Ur tqebblemt ara.,Ur tettqebbelem ara.
Ça n'a pas marché.,Ur tečči ara.,Ur yeddi ara.
Ça n'a pas marché.,Ur telḥi ara.,Ur yeddi ara.
Je n'ai pas encore ouvert grand la porte.,Ur ldiɣ ara ɛad tawwurt mliḥ.,Ur ɛad ldiɣ tawwurt mraw.
Je n'ai pas encore ouvert grand la porte.,Ur-ɛad ldiɣ mliḥ tawwurt.,Mazal ur ldiɣ ara tawwurt mliḥ.
Je n'ai pas encore ouvert grand la porte.,Ur bjiḥeɣ ara ɛad tawwurt.,Ur ɛad ldiɣ tawwurt mraw.
Je n'ai pas encore ouvert grand la porte.,Ur-ɛad bjiḥeɣ tawwurt.,Ur ɛad ldiɣ tawwurt mraw.
Je n'ai pas encore ouvert grand la porte.,Ur cṛiqeɣ ara ɛad tawwurt.,Mazal ur ldiɣ ara tawwurt mliḥ.
Arrêtez la voiture ici !,Ḥebset da takeṛṛust-nni.,Ḥebset takerrust dagi!
Je ne vous lèche pas les bottes.,Ur ken-ttḥellileɣ ara.,Ur awen-tsellimeɣ ara i yiḍarren.
Je ne vous lèche pas les bottes.,Ur wen-d-suduneɣ ara iḍaṛṛen-nwen.,Ur awen-tsellimeɣ ara i yiḍarren.
Je ne vous flagorne pas.,Ur ken-ttḥellileɣ ara.,Ur k-sseffadeɣ ara.
Doivent-elles rester à la maison aujourd'hui ?,Ilaq ad qqiment g uxxam ass-a?,Ilaq ad qqiment deg wexxam assa?
Doivent-elles rester à la maison aujourd'hui ?,Ɛni ilaq ad qqiment g uxxam ass-a?,Ilaq ad qqiment deg uxxam assa?
Je pense que vous êtes juste en train de gaspiller votre temps.,Ikad-iyi-d tesruḥayeḍ kan di lweqt-ik.,Waliɣ belli la tḍeyyiɛem lweqt-nwen kan.
Il n'est jamais trop tard pour se repentir du mal qui a été fait.,Werǧin yettfut lḥal win yebɣan ad yendem ɣef cceṛ i yexdem.,Werǧin i d-yeṭṭil lḥal iwakken ad yendem yiwen ɣef ccer i yexdem.
"Il doit y avoir un effort continu pour s'écouter l'un l'autre, pour apprendre de l'un et l'autre ; pour se respecter l'un l'autre ; et rechercher un terrain commun.","Ilaq ad yili wussis ur nḥebbes akken yal wa ad iḥess i wa, yal wa ad yelmed sɣur wayeḍ ; akken ad tili temqidra gar-aneɣ u ad nadit annar yesdukulen.","Ilaq ad yili lmeǧhud i d-ittekkun iwakken ad nemyessemḥas, ad nelmed seg wa ɣer wa, ad nemyuqqer, u ad nennadi ɣef wayen i ɣ-isdukkulen."
Mon père transforma son garage en un bureau.,Baba yerra agaraj-is d tanarit.,Baba yerra agaraj-is d lbiru.
J'ai lu cette histoire dans un livre.,Γriɣ taqsiṭ-a deg yiwen udlis.,Ɣriɣ tamacahut-agi deg wedlis.
Les amants qui aiment bien n'écrivent pas leur bonheur.,Imeεcuqen iḥemmlen akken ilaq ur ttarun ara lehna-nsen.,Imyaran i iḥemmlen s tidet ur ttarun ara tumert-nsen.
Il n'y avait aucun chat.,Tuɣ ulac ula d amcic.,Ulac ula d yiwen n umcic.
"Si vous voulez vivre longtemps, ne fumez pas.","Ma tebɣiḍ ad tidireḍ aṭas, ur ttkeyyif ara.","Ma tebɣam ad tidirem aṭas, ur ttekmit ara."
Vous avez davantage d'énergie que moi.,Tugareḍ-iyi afud.,Tesɛam ugar n tezmert fell-i.
Elle est allée faire des courses avec son ami.,Truḥ ad d-teqḍu nettat d umdakel-is.,Truḥ ad d-tessuq d umdakkul-is.
"Racontez-moi cela, je suis toute ouïe.","Ḥku-yid kan, aqli smeḥsiseɣ.","Hku-yi-d ayagi, aql-iyi sersaɣ-d imeẓẓuɣen."
Entre.,Kcem.,Kcem.
J'ai été ému aux larmes par l'histoire.,Armi qrib tessru-yi teqsiṭ-a.,Tadyant-nni tḥuz-iyi armi d-ɣlin imeṭṭawen-iw.
Elle fut excommuniée.,Ssufɣen-tt d taḥṛamt.,Tettwakkes-d seg ddin.
J’y suis également allée.,Ruḥeɣ ula d nekk ɣer din.,Ula d nekk ṛuḥeɣ ɣer din.
La ville compte environ 100 000 habitants.,D tamdint ideg llan azal n 100 000 imezdaɣ.,Tamdint tesɛa azal n 100 000 n yimezdaɣ.
La plume est plus forte que l'épée.,Imru i iǧehden ɣef usekkin.,Imru yugar ajenwi.
Je suis mouillé.,Bezgeɣ.,Bbzgeɣ.
Enlevez vos vêtements mouillés.,Kkset iceṭṭiḍen-nni-nwen ibezgen.,Kkes-et iceṭṭiḍen-nwen yebzgen.
Les chiens sont mouillés.,Bezgen yiḍan.,Iydan bzegen.
Cela prend trop de temps.,Bezzef yeţaɣ akud.,Yettawi aṭas n lweqt.
Ça prend une éternité !,Bezzef yeţaɣ akud.,Yeqqim lqern!
Ça prend des plombes !,Bezzef yeţaɣ akud.,Iteṭṭef lqern!
"Le toponyme Tunis a pour racine « ens », camp de nuit pour troupes.","Isem n Tunes yusa-d seg uẓaṛ ""ens"".","Isem n wadeg Tunes azer-is d « ens », d amensu n lɛesker."
"Le toponyme Tunis a pour racine « ens », halte ou camp de nuit.","Isem n Tunes yusa-d seg uẓaṛ ""ens"".","Isem n Tunes azuṛ-is d « ens », lmeɛna-s d tansa n yiḍ."
Souviens-toi de tes plus belles années !,Cfu ɣef ayen tεaceḍ d iseggasen igerrzen !,Mmekti-d iseggasen-ik icebḥen akk!
Je me suis perdue dans la forêt.,Raεeɣ deg teẓgi.,Telfeɣ deg teẓgi.
Je me suis perdue dans la forêt.,Iεreq-iyi ubrid deg teẓgi.,Jliɣ di teẓgi.
Y a-t-il des plantes auxquelles vous soyez allergiques ?,Llan yimɣan iɣer tesεiḍ urnan ?,Llan kra n yimɣan i ɣer tesɛam l'alerji?
"Je suis heureux, parce que vous êtes ici.",Ferḥeɣ imi tellam da.,Ferḥeɣ acku tellam dagi.
Je n'arrive pas à croire que vous mangiez ce truc.,Wehmeɣ amek tettettem ayennat-a.,Ur zmireɣ ara ad amneɣ belli ttettem lḥaǧa-agi.
Il garde une grosse araignée dans un bocal et il la nourrit avec des coléoptères qu'il attrape au jardin.,Yettṛebbi deg ubuqal n zzaj yiwet n tisisit d tameqqrant i yesseččay s igergisen i d-iteṭṭef deg urti.,"Iḥrez yiwet n tissist tameqqrant deg ubuqal, isseččay-itt s yibexxaxen i d-ittaṭṭaf deg uurtu."
Je sais comme les femmes pensent.,Ẓriɣ amek ttxemmiment tlawin.,Sneɣ amek i ttxemmiment tilawin.
Aimez-vous la bière ?,Tḥemmleḍ lbira ?,Tḥemmlem lbiṛa?
Les sourires ne montrent pas toujours le plaisir.,Azmummeg mačči ala tadfi i d-yeskan.,Ticmumin ur d-mmalent ara daymen tumert.
"Le toponyme Marrakech vient de Amurakkuc ; Amur, la part du dieu Akkuc.","Isem n Marrakech yusa-d seg Amurakkuc; Amur, ayla n yillew Akkuc.","Issem n wemkan Marrakech yekka-d seg Amurakkuc ; Amur, d amur n yakuc Akkuc."
Vous n'êtes plus le bienvenu chez moi.,Dayen ur k-uḥwaǧeɣ ara deg uxxam-iw.,Ur tellim ara yakan d imreḥba deg uxxam-iw.
Vous n'êtes plus le bienvenu chez moi.,Dayen ur ken-uḥwaǧeɣ ara deg uxxam-iw.,Ur telliḍ ara d amreḥḥeb deg uxxam-iw.
Rends-le-moi !,Err-iyi-t-id !,Err-iyi-t-id!
Où est la pluie ?,Anda-t ugeffur ?,Anda tella lehwa?
Où est la pluie ?,Anda-tt lehwa ?,Anda-tt lehwa?
"J'ai essayé de lui changer les idées, mais je n'ai pas pu.","Σerḍeɣ ad s-beddleɣ tiktiwin, maca ur ssawḍeɣ ara.","Ɛreḍeɣ ad as-beddleɣ ixemmimen, meɛna ur zmireɣ ara."
"Si l'université ne dispose pas de suffisamment d'étudiants, l'administration annulera le cours.","Ma ulac ddeqs inelmaden i d-yusan ɣer tesdawit, atan tabdelt ad tessefsex tamsirt.","Ma ur tesɛi ara tesdawit inelmaden i d-yewwin, tadebelt ad tekkis tamsirt."
Il y a une portion de côte épuisante au vingt-troisième mille du marathon.,Yella yiwen weḥric usawen issefcalen deg ummayel wis tlata-uεecrin n umaraṭun.,Yella yiwen n uḥric n usawen yessefcalen deg umil wis tleta u ɛecrin n umaratu.
Le connaissez-vous personnellement ?,Tessneḍ-t netta s yiman-is ?,Tessnem-t s timmad-is?
Il peut faire très froid ici même en mai.,Yezmer ad yismiḍ lḥal mliḥ dayi ɣas di mayu.,Yezmer ad d-yili usemmid ameqqran dagi ula di mayyu.
Il t'a reproché ton retard.,Yezzem-ik imi tεeṭṭleḍ.,Yelum-ik ɣef uɛeṭṭel-ik.
Avez-vous assisté à l'enterrement de Tom ?,Tḥeḍrem i temḍelt n Tom ?,Tehḍrem i umḍal n Tom?
Je veux rouler en vélo parce que je réside loin de mon école.,Bɣiɣ ad ruḥeɣ s uvilu acku yebεed uɣerbaz ɣef anda zedɣeɣ.,Bɣiɣ ad nher tasnasit acku zedɣeɣ beɛdeɣ ɣef uɣerbaz-iw.
"Tu n'es pas marié, si ?","Ur tezwiǧeḍ ara, neɣ ?","Ur tzewǧeḍ ara, naɣ?"
Tom s'est excusé.,Tom yeḍleb ssmaḥ,Tom yessuter ssmah.
Il fut déçu de ne pas avoir été invité.,Iɣaḍ-it lḥal imi ur t-εriḍen ara.,Yeḥzen imi ur d-yețțunɛeraḍ ara.
Je voulais l’étonner.,Bɣiɣ ad t-sswehmeɣ.,Vɣiɣ ad t-wehhmeɣ.
"Votre projet semble bon, mais l'important est : cela nous rapportera-t-il plus d'activité ?","Asenfar-ik yelha, maca ṣṣeḥ d wa : wissen m'ad aɣ-d-yawi ugar n wermud ?","Asenfar-nwen iban-d d ayen yelhan, meɛna ayen yesɛan azal d wa: ma yella ad aɣ-d-yernu amahil?"
"Juste en la regardant, on peut voir qu'elle vous aime.","Xẓer kan ɣur-s, ad tafeḍ belli tebɣa-k.","S tmughli kan ɣur-s, nezmer a nwali belli tḥemmel-ik."
Est-ce sans danger ?,Amihi ur yelli ?,Ulac lxiḍer?
"Sur mon bureau, il y a toujours une bouteille d'eau.",Tettili dima tqerεet n waman ɣef tnarit-iw.,"Gef lbiru-w, tella daymen tqerɛet n waman."
As-tu déjà soupé ?,Teččiḍ imensi yakan ?,Teččiḍ yakan imensi?
Regarde ! Le train est là !,Ẓer ! Attan da tmacint !,Muqel! Atnan lmacina!
Ce ne sont pas mes affaires !,Mačči d ccɣel-iw !,Mačči d ccɣel-iw!
Elles ont refusé.,Ugint.,Ugint.
Où est la clé ?,Anda-tt tsarut ?,Anda tella tsarut?
Je pensais que Tom serait resté un peu plus.,Nniɣ-as ad yernu ad yeqqim ciṭuḥ Tom.,Ɣileɣ Tom ad yeqqim cwiṭ nniḍen.
Ils veulent devenir riches.,Bɣan ad uɣalen d imerkantiyen.,Bɣan ad uɣalen d imarkantiyen.
Ayez de la compassion à mon égard !,Iḥninet-d fell-i ciṭuḥ.,Ḥunnet fell-i!
Je sais que Tom n'est pas raciste.,Ẓriɣ belli Tom mačči d iriẓri.,Zriɣ belli Tom mačči d aracist.
Tu n'es pas préparée à ce qui t'attend.,Ur theyyaḍ ara i wayen i k-yettrajun.,Ur theggiḍ ara i wayen i kem-yettraǧun.
Je ne signe rien du tout.,Ur ttestenyiɣ ula d kra.,Ur senniyeɣ u d acemma.
"Luc, je suis ton père.",D baba-k i lliɣ a Luc.,"Luc, d baba-k."
Il était assis et lisait un livre.,Yella yeqqim la yeqqar deg udlis.,Yella yeqqim yeqqar adlis.
Je ne veux pas être lié à une seule société.,Ur bɣiɣ ara ad iliɣ cuddeɣ ɣer yiwet n tkebbanit kan.,Ur bɣiɣ ara ad qqneɣ ɣer yiwet n tkebbanit.
Je ne veux pas être lié à une seule société.,Ur bɣiɣ ara ad iliɣ cuddeɣ ɣer yiwet n tmetti kan.,Ur bɣiɣ ara ad qqneɣ ɣer yiwet n tkebbanit.
"La seule chose qui puisse maintenant la sauver, c'est ton amour.",Tura d tayri kan i izemren ad tt-id-tsellek.,"Ayen kan i izemren a tt-isellek tura, d tayri-k."
Ils nettoient la plage.,La ssizdigen taftist.,Ssizdigen aftis.
Jane ne viendra plus me voir.,Ur tettuɣal Jane ad d-tas ad yi-tẓer.,Jane ur d-tuɣal ara a yi-twali.
"L'avare rationne, les héritiers dilapident.","Amecḥaḥ iskiccir, imweṛten-is ttṣerrifen kan.","Amecḥaḥ isqerdec, iwerraten ssexsayen."
"Le temps de me rendre compte, je ne pouvais plus voir les oiseaux.","Deg ayen i d-faqeɣ, dayen ur ssawḍeɣ ara ad ẓreɣ ifrax-nni.","Akken kan i d-fakiɣ, ur zmireɣ ara ad waliɣ igḍaḍ."
Ça n'a pas l'air bon du tout.,Mačči d ayen issefraḥen akk.,Ur d-iban ara yelha maḍi.
Je suis tien et tu es mienne.,"Nekk inem, kemm inu.","Nekk d win-im, kemm d tin-iw."
On ne saurait faire boire un âne qui n'a pas soif !,"Win iwumi yergel umelɣiɣ, d acu ar as-d yeg uselɣiɣ.",Ur tessiwiḍeḍ ara ad tessewed aɣyul ur iffuden ara.
C'était une tragédie.,D tatrajdidit.,Tella d tawaɣit.
C'était une tragédie.,D lmerta.,D tawayit.
On ne peut mener boire un âne qui n'a pas soif !,"Win iwumi yergel umelɣiɣ, d acu ar as-d yeg uselɣiɣ.",Ur tzemmreḍ ara ad tessweḍ aɣyul ur neffud.
Je pars pour Paris demain.,Azekka ad ruḥeɣ ɣer Paris.,Ad dduɣ ɣer Paris azekka.
Julien porte des lunettes rondes à la John Lennon.,Julien yettarra nnwaḍer d timdewwrin am tid n John Lennon.,Julien yelsa indwaḍer imdewwren am wid n John Lennon.
Je ne crains pas la mort.,Ur ugadeɣ ara lmut.,Ur ttagadeɣ ara lmut.
Êtes-vous jamais montées à cheval ?,Trekbemt yakan ɣef uεudiw ?,Terkbemt yakan ɣef yis?
Tu cherches quelqu'un ?,Tettnadiḍ ɣef ḥedd ?,Tnadiḍ yiwen?
Tu cherches quelqu'un ?,Tettḥewwiseḍ ḥedd ?,Tnadiḍ yiwen?
Tu cherches quelqu'un ?,D ḥedd i tettḥufuḍ ?,Tnadiḍ yiwen?
Ce n'est pas nous.,Mačči d nekni.,Mačči d nukkni.
"À propos de musique classique, quel est votre compositeur préféré ?","Imi d-nuder aẓawan aklasiki, anwa ameẓẓawan i tesmenyifeḍ ?","Ɣef wayen yerzan aẓawan aklasiki, anwa i d amessun i tḥemmlem ugar?"
Ses idées ne correspondent pas aux miennes.,Tiktiwin-is ur εdilent ara d wayla-w.,Tiktiwin-is ur mtawant ara d tid-iw.
L'église est décorée avec des fleurs pour le mariage.,Taglisya tettuzeyyen s tjeǧǧigin almend n tissulya.,Taglizt tettucebbeḥ s tjejjigin i tmeɣra.
Un agriculteur entre deux avocats est comme un poisson entre deux chats.,Afellaḥ gar sin ibugaṭuyen am yislem gar sin yemcac.,Amekraz gar sin yibugatun am uslem gar sin yimcac.
Je ne peux pas t'aider cette semaine.,Ur zmireɣ ara ad k-εawneɣ ssmana-yi.,Ur zmireɣ ara ad k-ɛiwneɣ ddurt-agi.
Des centaines de personnes se trouvaient sur place.,D imyaten n yemdanen i yellan din.,Llant tmidiwin n yimdanen deg wemkan-nni.
"Nous n'avons guère de visiteurs, ici.",D tixeṭṭay inerza i nseεεu da.,Ur nesɛi ara aṭas n inebgawen dagi.
On a pu vous tromper.,Cukkeɣ sɣelḍen-k.,Zemren ad kun-kelxen.
Vous avez pu être induit en erreur.,Cukkeɣ sɣelḍen-k.,Ahat ttwakellexem.
Sa femme le mène par le bout du nez.,Teddebbir-it tmeṭṭut-is.,Tameṭṭut-is tzuɣur-it s tanzert.
